group_id,group_type,phash_hamming_threshold,sha256_or_min_pair_hamming,filename
exact-0220,exact,,5ab8feaba7c9b02f2dfa8905110610aa31b1294dc963a7292fc35a1e5a06e8e1,data/DFU/Patches/Normal(Healthy skin)/535.jpg
exact-0221,exact,,f9ba6a574bc1a28342604045b438b255653b944f117d25023f648489c86b6781,data/DFU/Patches/Normal(Healthy skin)/279.jpg
exact-0221,exact,,f9ba6a574bc1a28342604045b438b255653b944f117d25023f648489c86b6781,data/DFU/Patches/Normal(Healthy skin)/490.jpg
exact-0222,exact,,818fbb9fc010e99900a22517dc5c489d8f985afa12e862bca62530705a88a7ca,data/DFU/Patches/Normal(Healthy skin)/28.jpg
exact-0222,exact,,818fbb9fc010e99900a22517dc5c489d8f985afa12e862bca62530705a88a7ca,data/DFU/Patches/Normal(Healthy skin)/306.jpg
exact-0223,exact,,19a46422edc189de24ce1b88ca85cf1ca2f931ce3bb503034de55ee323c3018d,data/DFU/Patches/Normal(Healthy skin)/280.jpg
exact-0223,exact,,19a46422edc189de24ce1b88ca85cf1ca2f931ce3bb503034de55ee323c3018d,data/DFU/Patches/Normal(Healthy skin)/536.jpg
exact-0224,exact,,54222feeac0f858810b5f560920743d849e0db5588a665bc7baeefeddd22741b,data/DFU/Patches/Normal(Healthy skin)/286.jpg
exact-0224,exact,,54222feeac0f858810b5f560920743d849e0db5588a665bc7baeefeddd22741b,data/DFU/Patches/Normal(Healthy skin)/5.jpg
exact-0225,exact,,7fda32e6ebbc1ba0557019d26ebb38f4c1b7af314842b908cd550ff0a2d32b4a,data/DFU/Patches/Normal(Healthy skin)/29.jpg
exact-0225,exact,,7fda32e6ebbc1ba0557019d26ebb38f4c1b7af314842b908cd550ff0a2d32b4a,data/DFU/Patches/Normal(Healthy skin)/309.jpg
